2023-12-29 06:16:01.624212 - Person: Unknown, Confidence: -13%
2023-12-29 06:16:01.709242 - Person: Unknown, Confidence: -34%
2023-12-29 06:16:01.788627 - Person: Unknown, Confidence: -24%
2023-12-29 06:16:01.865630 - Person: Unknown, Confidence: -19%
2023-12-29 06:16:01.868630 - Person: Unknown, Confidence: -31%
2023-12-29 06:16:01.943625 - Person: Unknown, Confidence: -27%
2023-12-29 06:16:01.946623 - Person: Unknown, Confidence: -36%
2023-12-29 06:16:02.016626 - Person: Unknown, Confidence: -19%
2023-12-29 06:16:02.019627 - Person: Unknown, Confidence: -25%
2023-12-29 06:16:02.100623 - Person: Unknown, Confidence: -32%
2023-12-29 06:16:02.104622 - Person: Unknown, Confidence: -14%
2023-12-29 06:16:02.176623 - Person: Unknown, Confidence: -11%
2023-12-29 06:16:02.270627 - Person: Unknown, Confidence: -23%
2023-12-29 06:16:02.273625 - Person: Unknown, Confidence: -10%
2023-12-29 06:16:02.358625 - Person: Unknown, Confidence: -10%
2023-12-29 06:16:02.440635 - Person: Unknown, Confidence: -18%
2023-12-29 06:16:02.444656 - Person: Unknown, Confidence: -38%
2023-12-29 06:16:02.520622 - Person: Unknown, Confidence: -5%
2023-12-29 06:16:02.524651 - Person: Unknown, Confidence: -4%
2023-12-29 06:16:02.603627 - Person: Unknown, Confidence: -3%
2023-12-29 06:16:02.606627 - Person: Unknown, Confidence: -15%
2023-12-29 06:16:02.609628 - Person: Unknown, Confidence: -3%
2023-12-29 06:16:02.698629 - Person: Unknown, Confidence: 0%
2023-12-29 06:16:02.701628 - Person: Unknown, Confidence: -5%
2023-12-29 06:16:02.705636 - Person: Unknown, Confidence: -8%
2023-12-29 06:16:02.795625 - Person: Unknown, Confidence: -3%
2023-12-29 06:16:02.799627 - Person: Unknown, Confidence: -2%
2023-12-29 06:16:02.889170 - Person: Unknown, Confidence: -7%
2023-12-29 06:16:02.892170 - Person: Unknown, Confidence: -6%
2023-12-29 06:16:02.984170 - Person: Unknown, Confidence: -12%
2023-12-29 06:16:02.987171 - Person: Unknown, Confidence: -4%
2023-12-29 06:16:02.990210 - Person: Unknown, Confidence: -1%
2023-12-29 06:16:03.085149 - Person: Unknown, Confidence: -2%
2023-12-29 06:16:03.089147 - Person: Unknown, Confidence: -10%
2023-12-29 06:16:03.176143 - Person: Unknown, Confidence: 0%
2023-12-29 06:16:03.179144 - Person: Unknown, Confidence: -25%
2023-12-29 06:16:03.285148 - Person: Unknown, Confidence: -4%
2023-12-29 06:16:03.288142 - Person: Unknown, Confidence: 0%
2023-12-29 06:16:03.291144 - Person: Unknown, Confidence: -13%
2023-12-29 06:16:03.389143 - Person: Unknown, Confidence: -10%
2023-12-29 06:16:03.393148 - Person: Unknown, Confidence: -5%
2023-12-29 06:16:03.396142 - Person: Unknown, Confidence: -10%
2023-12-29 06:16:03.486146 - Person: Someone, Confidence: 1%
2023-12-29 06:16:03.489145 - Person: Unknown, Confidence: -5%
2023-12-29 06:16:03.583144 - Person: Unknown, Confidence: -2%
2023-12-29 06:16:03.587491 - Person: Unknown, Confidence: -8%
2023-12-29 06:16:03.678513 - Person: Unknown, Confidence: -2%
2023-12-29 06:16:03.682541 - Person: Unknown, Confidence: -24%
2023-12-29 06:16:03.767509 - Person: Unknown, Confidence: 0%
2023-12-29 06:16:03.771511 - Person: Unknown, Confidence: -11%
2023-12-29 06:16:03.865509 - Person: Unknown, Confidence: -4%
2023-12-29 06:16:03.869514 - Person: Unknown, Confidence: -9%
2023-12-29 06:16:03.957537 - Person: Unknown, Confidence: -4%
2023-12-29 06:16:03.960536 - Person: Unknown, Confidence: -9%
2023-12-29 06:16:04.057517 - Person: Unknown, Confidence: -10%
2023-12-29 06:16:04.062523 - Person: Unknown, Confidence: -5%
2023-12-29 06:16:04.067513 - Person: Unknown, Confidence: -10%
2023-12-29 06:16:04.156509 - Person: Unknown, Confidence: -2%
2023-12-29 06:16:04.160511 - Person: Unknown, Confidence: -12%
2023-12-29 06:16:04.246514 - Person: Unknown, Confidence: -8%
2023-12-29 06:16:04.249509 - Person: Unknown, Confidence: -11%
2023-12-29 06:16:04.352514 - Person: Unknown, Confidence: -3%
2023-12-29 06:16:04.356511 - Person: Unknown, Confidence: -18%
2023-12-29 06:16:04.439512 - Person: Unknown, Confidence: -7%
2023-12-29 06:16:04.443513 - Person: Unknown, Confidence: -6%
2023-12-29 06:16:04.530510 - Person: Unknown, Confidence: -7%
2023-12-29 06:16:04.534512 - Person: Unknown, Confidence: -10%
2023-12-29 06:16:04.628508 - Person: Unknown, Confidence: -4%
2023-12-29 06:16:04.631509 - Person: Unknown, Confidence: -7%
2023-12-29 06:16:04.635514 - Person: Unknown, Confidence: -13%
2023-12-29 06:16:04.724510 - Person: Unknown, Confidence: -14%
2023-12-29 06:16:04.727510 - Person: Unknown, Confidence: -25%
